,Trip ID,Duration (min),Walking Time (min),Transit Time (min),Walking Distance (m),Transfers,Message
216,1014646,32.88333333333333,32.88333333333333,0.0,2544.620984956145,0.0,Successful Run
217,1021722,,,,,,No trip found.
218,1345052,25.433333333333334,25.433333333333334,0.0,1960.6727142813356,0.0,Successful Run
219,1362356,,,,,,No trip found.
220,958857,,,,,,No trip found.
221,1261530,,,,,,No trip found.
222,1005638,,,,,,No trip found.
223,1250094,17.533333333333335,17.533333333333335,0.0,1347.1353082666978,0.0,Successful Run
224,1167232,,,,,,No trip found.
225,1444775,26.466666666666665,26.466666666666665,0.0,2052.9761879658854,0.0,Successful Run
226,1578911,17.966666666666665,17.966666666666665,0.0,1393.398714281335,0.0,Successful Run
227,1374083,,,,,,No trip found.
228,1404013,39.766666666666666,39.766666666666666,0.0,3091.035661645596,0.0,Successful Run
229,1394328,,,,,,No trip found.
230,1153052,,,,,,No trip found.
231,1139176,,,,,,No trip found.
232,1368566,,,,,,No trip found.
233,1551652,62.166666666666664,50.13333333333333,12.0,3881.352774426095,0.0,Successful Run
234,1058801,,,,,,No trip found.
235,1540268,,,,,,No trip found.
236,1538860,,,,,,No trip found.
237,966863,22.15,18.5,3.6166666666666667,1400.7563308211847,0.0,Successful Run
238,1090241,17.533333333333335,17.533333333333335,0.0,1347.1353082666978,0.0,Successful Run
239,953291,,,,,,No trip found.
240,1196848,,,,,,No trip found.
241,1037174,57.766666666666666,52.95,4.783333333333333,4073.672699235867,0.0,Successful Run
242,1032065,,,,,,No trip found.
243,1466796,36.75,36.75,0.0,2823.945526304156,0.0,Successful Run
244,1507355,233.6,52.93333333333333,106.03333333333333,4067.515624039189,3.0,Successful Run
245,1354586,,,,,,No trip found.
246,1503508,,,,,,No trip found.
247,986710,,,,,,No trip found.
248,894130,,,,,,No trip found.
249,888658,,,,,,No trip found.
250,1254717,,,,,,No trip found.
251,1313086,,,,,,No trip found.
252,1412804,,,,,,No trip found.
253,1531146,,,,,,No trip found.
254,1328495,,,,,,No trip found.
255,1364087,,,,,,No trip found.
256,1441146,48.1,39.9,8.166666666666666,3095.6494661545566,0.0,Successful Run
257,1373398,,,,,,No trip found.
258,1090960,,,,,,No trip found.
259,1098478,,,,,,No trip found.
260,981912,,,,,,No trip found.
261,1120316,39.516666666666666,39.516666666666666,0.0,3097.5377443529096,0.0,Successful Run
262,1362506,12.116666666666667,12.116666666666667,0.0,928.9565488699361,0.0,Successful Run
263,1343847,,,,,,No trip found.
264,1111680,,,,,,No trip found.
265,1107463,,,,,,No trip found.
266,1428142,,,,,,No trip found.
267,1578889,96.46666666666667,47.13333333333333,41.2,3655.766812017981,2.0,Successful Run
268,919127,,,,,,No trip found.
